"V1","V2","V3","V4","V5","V6"
"id","datetime","age","domhand","gender","id"
"002","2023-05-25","15:44:07","21","rechtshändig","weiblich"
"EXPERIMENT","DATA","EXPERIMENT","DATA","EXPERIMENT","DATA"
"trialno","trialtype","x","y","timestamp","trialno"
"0","tip_middle_finger","273.83282","116.48493","1685022395073","0"
"1","tip_middle_finger","331.5855","31.97502","1685022402212","1"
"2","tip_middle_finger","311.85468","8.992974","1685022409586","2"
"3","tip_middle_finger","363.54556","56.9555","1685022417707","3"
"4","knuckle_small_finger","68.91386","551.5691","1685022426032","4"
"5","knuckle_index_finger","489.39075","621.51447","1685022433346","5"
"6","wrist","288.63922","911.288","1685022440128","6"
"7","wrist","243.69539","856.331","1685022446613","7"
"8","knuckle_small_finger","95.88015","649.49255","1685022454197","8"
"9","tip_middle_finger","333.58304","191.85011","1685022461285","9"
"10","knuckle_index_finger","517.5191","629.8356","1685022469249","10"
"11","knuckle_small_finger","161.79776","535.5816","1685022476894","11"
"12","wrist","264.66916","810.3669","1685022483607","12"
"13","tip_middle_finger","425.46817","84.93365","1685022491173","13"
"14","knuckle_index_finger","489.38828","554.5668","1685022498567","14"
"15","knuckle_small_finger","200.74907","494.6136","1685022506071","15"
"16","wrist","348.486","781.5462","1685022512880","16"
"17","wrist","273.65793","859.3287","1685022520080","17"
"18","knuckle_index_finger","467.41574","677.4707","1685022528047","18"
"19","knuckle_small_finger","31.108461","693.89996","1685022535777","19"
"20","knuckle_index_finger","474.407","659.4848","1685022543657","20"
"21","knuckle_index_finger","568.2897","612.5215","1685022550886","21"
"22","knuckle_index_finger","524.3446","613.5207","1685022558056","22"
"23","knuckle_index_finger","571.2859","551.5691","1685022565414","23"
"24","tip_middle_finger","350.5618","164.8712","1685022573175","24"
"25","wrist","101.87266","983.51013","1685022667693","25"
"26","knuckle_small_finger","92.883896","677.261","1685022676384","26"
"27","tip_middle_finger","476.4045","193.84856","1685022684340","27"
"28","knuckle_small_finger","174.78152","565.55817","1685022692174","28"
"29","knuckle_index_finger","569.2884","580.54645","1685022700226","29"
"30","knuckle_small_finger","168.78902","546.573","1685022707891","30"
"31","knuckle_small_finger","245.69289","551.5691","1685022715520","31"
"32","knuckle_index_finger","622.72156","589.5394","1685022722907","32"
"33","wrist","312.60925","895.30054","1685022729927","33"
"34","knuckle_small_finger","116.853935","618.5168","1685022737486","34"
"35","wrist","321.59802","903.2943","1685022744592","35"
"36","wrist","397.50314","946.26074","1685022751120","36"
"37","tip_middle_finger","466.417","127.90008","1685022758715","37"
"38","tip_middle_finger","490.3805","107.89605","1685022765839","38"
"39","wrist","329.67166","861.2434","1685022772285","39"
